Model,Değişken_sayisi,cv_ort,trainscore,testscore,f1,precision,recall,rocauc
SVML,3,0.5969858156028368,0.5936675461741425,0.631578947368421,0.3737570170756904,0.5994444444444443,0.9928571428571429,0.4998393973439345
SVMP,3,0.6179521276595745,0.6121372031662269,0.6631578947368421,0.4363628016865122,0.6142966832449008,0.9822660098522167,0.5805937256935442
SVMRBF,3,0.6114804964539008,0.7387862796833773,0.5684210526315789,0.5346120374987916,0.6353683770949496,0.8275862068965518,0.6167494886641892
SVMSig,3,0.601241134751773,0.5936675461741425,0.631578947368421,0.3754739120528594,0.601241134751773,1.0,0.49760680436724003
DT,3,0.6180407801418439,1.0,0.631578947368421,0.5990224284700643,0.6846864680262781,0.7057881773399014,0.597219341457091
RF,3,0.6117021276595744,1.0,0.6842105263157895,0.599129418468143,0.6728063815661146,0.7443349753694581,0.6408409673609311
SVML,4,0.5969858156028368,0.5936675461741425,0.631578947368421,0.3737570170756904,0.5994444444444443,0.9928571428571429,0.5889429032350992
SVMP,4,0.624113475177305,0.6569920844327177,0.6526315789473685,0.5137653518896877,0.6304652521918248,0.9083743842364532,0.6314586754241927
SVMRBF,4,0.645345744680851,0.7915567282321899,0.6631578947368421,0.6122637357637143,0.6865911975451449,0.7645320197044335,0.6624744332094604
SVMSig,4,0.5191046099290779,0.5118733509234829,0.5157894736842106,0.48106030078110784,0.5861564179874426,0.6044334975369459,0.48726629792872983
DT,4,0.5948581560283687,1.0,0.6210526315789474,0.5959232369175672,0.6721835304164527,0.6557881773399015,0.5789840981764758
RF,4,0.6792996453900708,1.0,0.7368421052631579,0.6640463574727111,0.7297053581093268,0.7825123152709359,0.7298695733586842
SVML,5,0.6454787234042554,0.6411609498680739,0.7052631578947368,0.5330662213108489,0.6400430189965074,0.9403940886699509,0.6678218534842855
SVMP,5,0.6601950354609929,0.6886543535620053,0.6736842105263158,0.6037326267294347,0.6680158730158731,0.8630541871921183,0.6761609483478812
SVMRBF,5,0.6749556737588651,0.8311345646437994,0.7368421052631579,0.6427776927936402,0.6993054426071506,0.8067733990147783,0.7208941894967302
SVMSig,5,0.5106826241134751,0.5145118733509235,0.5052631578947369,0.46913642252417775,0.5760663658324947,0.6080049261083744,0.47058738801025557
DT,5,0.6434397163120567,1.0,0.6526315789473685,0.6230478215904351,0.7138567664219838,0.6812807881773398,0.6398445827211707
RF,5,0.6981382978723404,1.0,0.8,0.6971919955861148,0.7353029590041474,0.8288177339901479,0.7605392792325641
SVML,6,0.6664893617021276,0.6517150395778364,0.7052631578947368,0.5759569281024207,0.6585508952870159,0.9295566502463053,0.686369659781638
SVMP,6,0.6456117021276596,0.7176781002638523,0.6736842105263158,0.6038797873601413,0.6719034035637452,0.8036945812807883,0.6836833462967764
SVMRBF,6,0.6898492907801417,0.8364116094986808,0.7789473684210526,0.6592027334738718,0.7132423316725491,0.814408866995074,0.7406094258635093
SVMSig,6,0.5023049645390071,0.49868073878627966,0.49473684210526314,0.4647458458822121,0.5701333643046658,0.5939655172413794,0.4466417480482816
DT,6,0.6515514184397163,1.0,0.6210526315789474,0.6448633227165063,0.7364119762083757,0.6948275862068966,0.6603588713162216
RF,6,0.7129875886524821,1.0,0.7789473684210526,0.7053018729334519,0.740169063476686,0.8107142857142857,0.7619342897473569
SVML,7,0.6624999999999999,0.662269129287599,0.7263157894736842,0.5919516882548617,0.6683526452004712,0.8802955665024632,0.6928859505084551
SVMP,7,0.6878989361702128,0.7730870712401056,0.7052631578947368,0.6588281485037266,0.7115152644542391,0.8110837438423644,0.7160998761270994
SVMRBF,7,0.7112145390070922,0.8390501319261213,0.7263157894736842,0.6918323828742562,0.7424449315939452,0.7970443349753694,0.7671261487050961
SVMSig,7,0.4726507092198582,0.47757255936675463,0.4842105263157895,0.44158651913655067,0.555649639200251,0.5314039408866995,0.44501339555786024
DT,7,0.6712322695035461,1.0,0.6842105263157895,0.6627786024001721,0.7271962610852863,0.7407635467980296,0.6524922219341457
RF,7,0.7277925531914893,1.0,0.7684210526315789,0.7150471931104692,0.7661020732913114,0.814039408866995,0.7907509434505805
SVML,8,0.670700354609929,0.6649076517150396,0.7473684210526316,0.6028573762687585,0.6701502939025439,0.894088669950739,0.7023420620516809
SVMP,8,0.6838209219858157,0.783641160949868,0.7052631578947368,0.6540406038699598,0.7113314314563832,0.8045566502463053,0.7385014259787399
SVMRBF,8,0.7364804964539007,0.8575197889182058,0.8,0.7221773499710358,0.7672250235396787,0.8041871921182265,0.803916400195892
SVMSig,8,0.474822695035461,0.47229551451187335,0.4842105263157895,0.4333532355941195,0.5480796966497831,0.5729064039408868,0.42310157577852675
DT,8,0.7218085106382979,1.0,0.7263157894736842,0.695066842451327,0.7421169118988592,0.7863300492610837,0.6827042462478033
RF,8,0.771985815602837,1.0,0.8105263157894737,0.7447128393399415,0.7782125975584393,0.8424876847290641,0.8361759283265636
SVML,9,0.668572695035461,0.6807387862796834,0.7684210526315789,0.603605915362107,0.6713986393074858,0.8836206896551726,0.7030212024313658
SVMP,9,0.7363475177304964,0.8258575197889182,0.7684210526315789,0.716276817494122,0.7577763472160024,0.8282019704433496,0.7986438798144788
SVMRBF,9,0.7554078014184397,0.8839050131926122,0.8315789473684211,0.7447055476868624,0.7933235264457456,0.8008620689655173,0.8320470717022441
SVMSig,9,0.493927304964539,0.48812664907651715,0.4842105263157895,0.4554859698119187,0.5642514395307264,0.5834975369458127,0.4308357099645666
DT,9,0.6985372340425532,1.0,0.7368421052631579,0.6663735694236342,0.7509999717058541,0.7338669950738916,0.6914678938726125
RF,9,0.769991134751773,1.0,0.8421052631578947,0.7634150259479938,0.7946145522997581,0.8317733990147783,0.8385161899000375
SVML,10,0.670700354609929,0.6807387862796834,0.7789473684210526,0.6039865518045249,0.6729052211137404,0.8870689655172417,0.7023038919136922
SVMP,10,0.755363475177305,0.8364116094986808,0.8,0.7423133482641537,0.7863015256897349,0.8144088669950739,0.7978711145680293
SVMRBF,10,0.7850620567375888,0.9023746701846965,0.7789473684210526,0.7756282678689022,0.8254912397476998,0.8183497536945813,0.832183908045977
SVMSig,10,0.47903368794326245,0.47757255936675463,0.49473684210526314,0.44011416896805466,0.5519112112013826,0.5658866995073891,0.4234602310373636
DT,10,0.7026595744680852,1.0,0.8526315789473684,0.7006117491472977,0.762745929362143,0.7586206896551724,0.7044795897790453
RF,10,0.7764627659574468,1.0,0.8421052631578947,0.7499954951241091,0.787276127696284,0.8456896551724139,0.8475704347074583
SVML,11,0.6749113475177305,0.6807387862796834,0.7052631578947368,0.6015022558393627,0.6691389820244774,0.911576354679803,0.718652954224642
SVMP,11,0.7425531914893616,0.8390501319261213,0.7789473684210526,0.7244470365165997,0.7667821654987541,0.8247536945812806,0.7973345720623398
SVMRBF,11,0.755363475177305,0.9102902374670184,0.7789473684210526,0.7442439432154563,0.7974789084534212,0.7967980295566502,0.8253032005300607
SVMSig,11,0.4789893617021276,0.48284960422163586,0.49473684210526314,0.4388184429674794,0.5513930143444761,0.5693349753694582,0.42881917437271333
DT,11,0.6964095744680852,1.0,0.8,0.6906380331699966,0.7454550727087438,0.7716748768472906,0.6888543197073143
RF,11,0.7722074468085107,1.0,0.8421052631578947,0.7549997983247385,0.7862722763154163,0.8493842364532019,0.8709424423126781
SVML,12,0.6707446808510638,0.7044854881266491,0.6736842105263158,0.5944057028783424,0.6659961742122217,0.9118226600985222,0.7078551263215511
SVMP,12,0.7467641843971632,0.8575197889182058,0.7473684210526316,0.7311094159330932,0.7854859677535199,0.8073891625615763,0.8005891164693342
SVMRBF,12,0.7574024822695036,0.9050131926121372,0.7578947368421053,0.7460872131046367,0.801497423557129,0.7970443349753694,0.8161697346815314
SVMSig,12,0.4874113475177305,0.49340369393139843,0.49473684210526314,0.4482954947818384,0.5597202380952381,0.5729064039408867,0.4284619594964423
DT,12,0.6983599290780143,1.0,0.6842105263157895,0.6947132174948726,0.7614366422982941,0.786206896551724,0.6877535073315473
RF,12,0.7510638297872341,1.0,0.8,0.7568368754246911,0.7763598462778107,0.8562807881773399,0.8533866995073891
