0;deðiþken;Accuracy;3;4;5;6;;;;;;;;;;;;;
DT;3;0.685509518;{'criterion': 'entropy', 'max_depth': 12, 'max_features': 'auto', 'max_leaf_nodes': 35, 'min_samples_leaf': 2, 'min_samples_split': 4};0.711256981;0.807017544;0.755243855;;;;;;;;;;;;;
DT;4;0.68356103;{'criterion': 'gini', 'max_depth': 11, 'max_features': 'sqrt', 'max_leaf_nodes': 42, 'min_samples_leaf': 2, 'min_samples_split': 3};0.708397126;0.810526316;0.75268442;;;;;;;;;;;;;
DT;5;0.708824188;{'criterion': 'entropy', 'max_depth': 11, 'max_features': 'sqrt', 'max_leaf_nodes': 48, 'min_samples_leaf': 1, 'min_samples_split': 4};0.721913016;0.842105263;0.775808399;;;;;;;;;;;;;
DT;6;0.719462486;{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'auto', 'max_leaf_nodes': 50, 'min_samples_leaf': 1, 'min_samples_split': 2};0.753982342;0.792982456;0.772710476;;;;;;;;;;;;;
DT;7;0.725823068;{'criterion': 'entropy', 'max_depth': 11, 'max_features': 'sqrt', 'max_leaf_nodes': 95, 'min_samples_leaf': 1, 'min_samples_split': 4};0.774121442;0.775438596;0.770637464;;;;;;;;;;;;;
DT;8;0.746898096;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'max_leaf_nodes': 60, 'min_samples_leaf': 1, 'min_samples_split': 3};0.793630416;0.785964912;0.788697266;;;;;;;;;;;;;
DT;9;0.753034714;{'criterion': 'gini', 'max_depth': 11, 'max_features': 'sqrt', 'max_leaf_nodes': 91, 'min_samples_leaf': 1, 'min_samples_split': 2};0.789913331;0.803508772;0.796047008;;;;;;;;;;;;;
DT;10;0.753101904;{'criterion': 'gini', 'max_depth': 12, 'max_features': 'log2', 'max_leaf_nodes': 31, 'min_samples_leaf': 1, 'min_samples_split': 4};0.785152253;0.810526316;0.797261821;;;;;;;;;;;;;
DT;11;0.767883539;{'criterion': 'gini', 'max_depth': 12, 'max_features': 'sqrt', 'max_leaf_nodes': 59, 'min_samples_leaf': 1, 'min_samples_split': 3};0.788228335;0.842105263;0.813476551;;;;;;;;;;;;;
DT;12;0.751019037;{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'log2', 'max_leaf_nodes': 69, 'min_samples_leaf': 2, 'min_samples_split': 3};0.790967199;0.803508772;0.794143273;;;;;;;;;;;;;
DT;13;0.75106383;{'criterion': 'gini', 'max_depth': 12, 'max_features': 'sqrt', 'max_leaf_nodes': 92, 'min_samples_leaf': 1, 'min_samples_split': 4};0.802976647;0.778947368;0.789815495;;;;;;;;;;;;;
random_forest;3;0.674983203;{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0.689329785;0.835087719;0.754409737;;;;;;;;;;;;;
random_forest;4;0.687704367;{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.704140087;0.828070175;0.760669409;;;;;;;;;;;;;
random_forest;5;0.715139978;{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0.721493909;0.859649123;0.78373146;;;;;;;;;;;;;
random_forest;6;0.734132139;{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.740320487;0.859649123;0.795473553;;;;;;;;;;;;;
random_forest;7;0.746786114;{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10};0.759144681;0.849122807;0.801475633;;;;;;;;;;;;;
random_forest;8;0.780582307;{'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0.778978096;0.887719298;0.829590331;;;;;;;;;;;;;
