0,1,2,3,4,5,6,7
svm,3,0.67,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.66,0.98,0.79,0.56
svm,4,0.68,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.71,0.83,0.77,0.63
svm,5,0.74,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.72,0.95,0.82,0.66
svm,6,0.72,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.71,0.92,0.8,0.64
svm,7,0.73,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.74,0.87,0.8,0.68
svm,8,0.71,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.74,0.83,0.78,0.66
svm,9,0.69,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.73,0.82,0.77,0.65
svm,10,0.68,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.73,0.78,0.76,0.65
svm,11,0.67,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.71,0.82,0.76,0.62
svm,12,0.68,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.71,0.83,0.77,0.63
svm,13,0.69,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",0.7,0.9,0.79,0.62
