model,variable_count,test_accuracy,test_params,test_precision,test_recall,test_f1,test_roc_auc,test_kappa
svm,3,0.674,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.726,0.674,0.59,0.563,0.153
random_forest,3,0.695,"{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}",0.69,0.695,0.692,0.663,0.332
DT,3,0.621,"{'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2}",0.631,0.621,0.625,0.605,0.205
svm,4,0.684,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.672,0.684,0.67,0.631,0.278
random_forest,4,0.716,"{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 10}",0.718,0.716,0.717,0.698,0.393
DT,4,0.663,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2}",0.656,0.663,0.658,0.626,0.259
svm,5,0.674,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.663,0.674,0.665,0.629,0.268
random_forest,5,0.674,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 50}",0.661,0.674,0.661,0.623,0.259
DT,5,0.589,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.587,0.589,0.588,0.556,0.113
svm,6,0.684,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.672,0.684,0.67,0.631,0.278
random_forest,6,0.758,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 100}",0.757,0.758,0.745,0.707,0.443
DT,6,0.684,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 3}",0.673,0.684,0.656,0.613,0.25
svm,7,0.747,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.742,0.747,0.739,0.705,0.43
