model;variable_count;test_accuracy;test_params;test_precision;test_recall;test_f1;test_roc_auc;test_kappa
XGB;8;0,884;{'colsample_bytree': 0,7, 'learning_rate': 0,2, 'max_depth': 10, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0,8};0,884;0,884;0,884;0,873;0,75
XGB;9;0,874;{'colsample_bytree': 0,7, 'learning_rate': 0,1, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0,8};0,874;0,874;0,872;0,852;0,722
XGB;12;0,863;{'colsample_bytree': 0,7, 'learning_rate': 0,2, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0,8};0,863;0,863;0,863;0,85;0,704
XGB;10;0,853;{'colsample_bytree': 0,7, 'learning_rate': 0,25, 'max_depth': 10, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0,8};0,853;0,853;0,853;0,842;0,683
XGB;11;0,821;{'colsample_bytree': 0,7, 'learning_rate': 0,1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0,8};0,819;0,821;0,819;0,799;0,608
KNN;10;0,811;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 6, 'p': 1, 'weights': 'distance'};0,811;0,811;0,804;0,773;0,572
random_forest;12;0,811;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0,808;0,811;0,808;0,785;0,583
XGB;13;0,811;{'colsample_bytree': 0,7, 'learning_rate': 0,1, 'max_depth': 15, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0,8};0,808;0,811;0,808;0,785;0,583
KNN;9;0,789;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'};0,788;0,789;0,782;0,75;0,525
random_forest;9;0,789;{'criterion': 'gini', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0,791;0,789;0,78;0,744;0,519
random_forest;10;0,789;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0,787;0,789;0,786;0,762;0,537
LDSVD;9;0,779;{'n_components': 1, 'store_covariance': True};0,781;0,779;0,768;0,73;0,492
KNN;11;0,779;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'};0,775;0,779;0,775;0,748;0,51
KNN;12;0,779;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'};0,776;0,779;0,773;0,742;0,504
random_forest;13;0,779;{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10};0,776;0,779;0,777;0,754;0,516
