model;variable_count;test_accuracy;test_params;test_precision;test_recall;test_f1;test_roc_auc;test_kappa
NB;3;0,653;{'priors': None, 'var_smoothing': 1e-09};0,633;0,653;0,596;0,558;0,135
KNN;3;0,663;{'algorithm': 'ball_tree', 'leaf_size': 1, 'metric': 'chebyshev', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'};0,667;0,663;0,665;0,644;0,285
svm;3;0,674;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,726;0,674;0,59;0,563;0,153
random_forest;3;0,716;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0,708;0,716;0,705;0,668;0,355
DT;3;0,674;{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 3};0,663;0,674;0,665;0,629;0,268
NB;4;0,653;{'priors': None, 'var_smoothing': 1e-09};0,633;0,653;0,596;0,558;0,135
KNN;4;0,684;{'algorithm': 'auto', 'leaf_size': 1, 'metric': 'chebyshev', 'n_neighbors': 13, 'p': 1, 'weights': 'uniform'};0,672;0,684;0,67;0,631;0,278
svm;4;0,684;{'C': 100, 'degree': 3, 'kernel': 'linear'};0,697;0,684;0,628;0,589;0,208
random_forest;4;0,716;{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10};0,708;0,716;0,708;0,674;0,363
DT;4;0,632;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2};0,621;0,632;0,625;0,589;0,184
NB;5;0,663;{'priors': None, 'var_smoothing': 1e-09};0,646;0,663;0,639;0,596;0,21
KNN;5;0,747;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 2, 'weights': 'distance'};0,742;0,747;0,742;0,711;0,437
svm;5;0,737;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,755;0,737;0,706;0,661;0,362
random_forest;5;0,737;{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 10};0,731;0,737;0,727;0,69;0,403
DT;5;0,695;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2};0,684;0,695;0,683;0,645;0,307
NB;6;0,737;{'priors': None, 'var_smoothing': 1e-09};0,733;0,737;0,734;0,708;0,424
KNN;6;0,747;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'};0,743;0,747;0,744;0,717;0,444
svm;6;0,716;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,717;0,716;0,688;0,644;0,321
random_forest;6;0,758;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0,753;0,758;0,753;0,725;0,464
DT;6;0,663;{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 2};0,646;0,663;0,639;0,596;0,21
NB;7;0,621;{'priors': None, 'var_smoothing': 1e-09};0,669;0,621;0,627;0,64;0,257
KNN;7;0,674;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'chebyshev', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'};0,69;0,674;0,678;0,67;0,327
svm;7;0,726;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,72;0,726;0,714;0,676;0,375
random_forest;7;0,789;{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 10};0,791;0,789;0,78;0,744;0,519
DT;7;0,726;{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3};0,73;0,726;0,728;0,712;0,419
NB;8;0,579;{'priors': None, 'var_smoothing': 1e-09};0,671;0,579;0,578;0,625;0,216
KNN;8;0,653;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'chebyshev', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'};0,664;0,653;0,657;0,642;0,275
svm;8;0,705;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,696;0,705;0,695;0,66;0,335
random_forest;8;0,768;{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0,765;0,768;0,761;0,727;0,478
DT;8;0,737;{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 3};0,735;0,737;0,736;0,714;0,431
NB;9;0,579;{'priors': None, 'var_smoothing': 1e-09};0,66;0,579;0,58;0,619;0,208
KNN;9;0,779;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 6, 'p': 1, 'weights': 'distance'};0,778;0,779;0,77;0,736;0,498
svm;9;0,726;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0,721;0,726;0,722;0,694;0,398
random_forest;9;0,811;{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0,811;0,811;0,804;0,773;0,572
