model;variable_count;train_accuracy;best_params;train_precision;train_recall;train_f1;train_roc_auc;train_kappa;;;;;;
NB;3;0;607;{'priors': None, 'var_smoothing': 1e-09};0;588;0;607;0;549;0;542;0;93
KNN;3;1.0;{'algorithm': 'ball_tree', 'leaf_size': 1, 'metric': 'chebyshev', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'};1.0;1.0;1.0;1.0;1.0;;;;;;
svm;3;0;62;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0;711;0;62;0;507;0;535;0;81
random_forest;3;0;86;{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50};0;874;0;86;0;855;0;834;0;697
DT;3;0;694;{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 3};0;699;0;694;0;672;0;649;0;32
NB;4;0;623;{'priors': None, 'var_smoothing': 1e-09};0;617;0;623;0;565;0;557;0;128
KNN;4;0;702;{'algorithm': 'auto', 'leaf_size': 1, 'metric': 'chebyshev', 'n_neighbors': 13, 'p': 1, 'weights': 'uniform'};0;701;0;702;0;688;0;666;0;349
svm;4;0;641;{'C': 100, 'degree': 3, 'kernel': 'linear'};0;684;0;641;0;564;0;567;0;152
random_forest;4;0;757;{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10};0;762;0;757;0;747;0;725;0;472
DT;4;0;805;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2};0;809;0;805;0;799;0;78;0;581
NB;5;0;66;{'priors': None, 'var_smoothing': 1e-09};0;669;0;66;0;619;0;602;0;224
KNN;5;1.0;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 2, 'weights': 'distance'};1.0;1.0;1.0;1.0;1.0;;;;;;
svm;5;0;67;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0;702;0;67;0;62;0;606;0;237
random_forest;5;0;85;{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 10};0;852;0;85;0;847;0;831;0;68
DT;5;0;744;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2};0;759;0;744;0;727;0;702;0;433
NB;6;0;678;{'priors': None, 'var_smoothing': 1e-09};0;673;0;678;0;665;0;643;0;3
KNN;6;1.0;{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'};1.0;1.0;1.0;1.0;1.0;;;;;;
svm;6;0;689;{'C': 1000, 'degree': 3, 'kernel': 'rbf'};0;721;0;689;0;647;0;629;0;286
random_forest;6;0;897;{'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0;904;0;897;0;895;0;878;0;78
