model,variable_count,train_accuracy,best_params,train_precision,train_recall,train_f1,train_roc_auc,train_kappa
LDShrink,3,0.599,"{'n_components': 1, 'solver': 'lsqr'}",0.585,0.599,0.483,0.514,0.032
LDSVD,3,0.599,"{'n_components': 1, 'store_covariance': True}",0.585,0.599,0.483,0.514,0.032
XGB,3,0.997,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'objective': 'binary:logistic', 'subsample': 0.8}",0.997,0.997,0.997,0.997,0.995
NB,3,0.623,"{'priors': None, 'var_smoothing': 1e-09}",0.621,0.623,0.559,0.554,0.122
KNN,3,0.694,"{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'chebyshev', 'n_neighbors': 13, 'p': 1, 'weights': 'uniform'}",0.69,0.694,0.684,0.663,0.34
svm,3,0.604,"{'C': 1000, 'degree': 3, 'kernel': 'poly'}",0.763,0.604,0.466,0.513,0.031
random_forest,3,0.789,"{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 15, 'n_estimators': 100}",0.811,0.789,0.776,0.751,0.534
DT,3,0.675,"{'criterion': 'entropy', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2}",0.675,0.675,0.653,0.63,0.279
LDShrink,4,0.636,"{'n_components': 1, 'solver': 'lsqr'}",0.69,0.636,0.55,0.558,0.133
LDSVD,4,0.636,"{'n_components': 1, 'store_covariance': True}",0.69,0.636,0.55,0.558,0.133
XGB,4,0.747,"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'objective': 'binary:logistic', 'subsample': 0.8}",0.822,0.747,0.712,0.688,0.418
NB,4,0.625,"{'priors': None, 'var_smoothing': 1e-09}",0.624,0.625,0.565,0.558,0.131
KNN,4,1.0,"{'algorithm': 'auto', 'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 26, 'p': 1, 'weights': 'distance'}",1.0,1.0,1.0,1.0,1.0
svm,4,0.633,"{'C': 1000, 'degree': 3, 'kernel': 'rbf'}",0.716,0.633,0.536,0.552,0.12
random_forest,4,0.763,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}",0.791,0.763,0.744,0.718,0.47
