hisse;CO;LO;NO;FBO;KO;ADH;SDH;AK;BKM;FM;NKM;OK;ROIC;Y
BUCIM;3.77;2.37;1.02;1.99;20.28;1.29;3.99;25.25;25.59;19.9;19.51;42.66;30.02;0
OYAKC;1.88;1.32;0.34;9.58;38.92;1.06;6.31;16.39;24.43;22.02;15.49;27.57;27.82;1
CIMSA;1.16;0.8;0.13;25.9;47.17;0.72;6.55;19.59;19.04;17.24;27.14;49.89;68.44;1
AKCNS;1;0.57;0.15;22.56;55.97;0.97;5.14;10.23;14.66;14.12;10.57;22.18;53.52;1
TTRAK;1.47;0.95;0.47;18.57;66.44;2.18;7.29;24.71;18.32;14.88;11.35;75.72;29.56;1
TOASO;1.18;1;0.31;33.05;75.53;1.38;12.33;15.28;19.63;19.52;11.05;64.26;57.3;1
TMSN;1.36;0.55;0.2;20.39;50.4;0.65;1.95;2.91;25.02;15.25;4.5;5.53;9.39;0
OTKAR;1.39;0.89;0.23;39.71;75.01;0.87;2.02;20.18;38.07;20.24;23.1;83.19;116.5;1
KARSN;0.9;0.75;0.15;53.59;73.41;0.64;6.2;3.06;27.74;19.25;4.78;11.48;56.16;1
FROTO;1.58;1.33;0.68;44.53;76.28;2.12;15.53;26.22;15.69;13.31;12.38;102.38;38.58;1
PARSN;0.57;0.28;0.02;45.42;60.18;0.36;2.69;5.09;24;24.13;14.32;14.64;5.1;1
JANTS;1.82;1.07;0.21;4.44;37.01;1.28;4.22;34.52;30.22;21.77;26.98;53.94;40.72;0
GOODY;1.48;0.89;0.03;5.38;58.79;1.81;4.97;14.37;20.13;14.42;7.93;31.02;45.51;1
EGEEN;4.2;3.01;1.36;4.09;19.74;0.86;3.17;49.37;40.51;35.77;57.51;66;86.18;1
BRISA;1.16;0.94;0.68;46.55;77.56;0.81;5.35;12.29;30.39;22.36;15.14;53.61;45.44;1
ISMEN;1.73;1.19;0.46;42.23;54.76;0.96;3.32;11.43;26.53;21.04;11.96;13.7;29.7;1
KLKIM;2.38;2.14;1.43;1.45;34.54;1.11;9.06;29.33;37.91;19.61;26.33;48.26;111.76;1
TUPRS;1.02;0.65;0.32;30.84;82.61;1.84;8.62;4.06;10.23;8.61;2.2;22.89;23.72;1
SASA;0.98;0.56;0.24;54.06;81.24;0.89;4.18;4.23;25.28;22.9;4.76;19.79;98.61;1
PETKM;2.56;2.1;0.49;39.77;58.2;1.14;9.91;21.63;22.35;21.21;18.99;53.67;41.14;1
KORDS;1.12;0.58;0.04;31.65;53.72;0.73;2.92;7.11;21.95;15.43;9.74;19.64;23.72;1
HEKTS;1.05;0.68;0.03;49.1;69.47;0.61;1.68;9.78;35.05;27.68;16.12;30.89;58.35;1
GUBRF;1.08;0.49;0.16;19.68;69.13;1.18;2.55;5.74;24;20.4;4.86;27.54;105.6;0
BAGFS;0.98;0.64;0.59;42.91;79.98;0.67;2.81;5.99;38.45;38.59;8.93;29.51;58.22;0
AYGAZ;1.2;0.83;0.44;30.63;67.37;2.32;15.77;9.76;9.05;4.44;4.22;26.72;199;1
ALKIM;2.55;1.77;1.01;6.61;35.92;1.15;3.79;26.05;27.74;23.82;22.63;42.54;43.86;1
AKSA;1.02;0.76;0.48;31.5;69.99;1.16;5.94;16.25;22.09;20.38;13.98;49.66;37.03;1
KONKA;3.07;2.47;1.46;5.51;19.65;0.65;5.51;32.52;30.06;23.26;49.71;67.44;37.1;0
TEZOL;2.9;2.39;1.63;33.51;44.47;0.91;4.07;26.43;28.57;15.16;29.04;44.4;32.92;1
TIRE;1.17;0.86;0.03;17.58;68.35;1.7;6.96;22.36;24.84;17.39;13.14;71.57;87.06;1
KARTN;3.09;2.45;1.59;0.53;24.99;1.69;7.77;40.27;26.58;24.95;23.86;51.88;66.42;0
SARKY;1.44;0.96;0.1;47.32;74.9;3.17;10.18;12.64;6.34;5.51;3.99;48.57;39.79;0
KRDMD;1.29;0.95;0.56;11.97;54.34;0.9;3.98;23.61;32.39;33.09;26.09;55.58;71.37;1
ISDMR;3.03;1.41;1.03;9.06;29.77;0.87;2.46;15.38;37.59;39.1;17.72;21.16;32.2;1
EREGL;2.8;1.56;0.99;13.19;33.13;0.74;2.19;16.84;37.4;38.79;22.76;25.43;32.62;1
ERBOS;2.19;1.38;0.38;29.97;39.03;1.49;4.26;22.49;23.04;16.24;15.14;34.19;36.92;0
CEMTS;4.8;2.34;0.81;0;18.03;1.6;3.04;42.71;29.44;25.39;26.7;51.46;42.24;0
VESTL;0.68;0.37;0.07;28.12;76.07;0.93;3.46;5.4;27.75;16.87;5.83;22.96;-13.64;1
VESBE;1.18;0.87;0.01;9.41;65.52;1.44;7.56;13.55;15.85;15.38;9.39;36.79;61.26;1
ARCLK;1.47;1.06;0.4;38.29;75.25;1.04;3.99;4.66;30.03;10.05;4.49;18.46;44.72;1
KUTPO;1.73;0.86;0.04;3.23;43.77;0.97;1.83;5.45;42.12;7.31;5.63;8.71;3.93;0
EGSER;2.16;1.67;0.52;1.29;41.19;1.24;4.31;30.73;36.34;26.85;24.75;50.83;49.24;0
KOZAL;8.4;8.01;7.94;0.41;12.69;0.39;3.62;29.33;62.42;54.09;75.06;33.14;21.87;1
KOZAA;8.17;7.79;7.69;0.4;13.17;0.4;3.75;12.04;60.51;52.17;30.35;29.98;107.84;1
IPEKE;8.18;7.8;7.69;0.33;13.1;0.4;3.75;6.31;60.5;52.1;15.89;36.51;105.63;1
KRVGD;1.19;0.76;0.18;33.46;57.71;0.86;3.16;7.52;29.04;14.3;8.76;16.11;28.52;0
ULKER;3.06;2.53;1.54;69.26;83.56;0.57;4.36;-2.1;28.81;18.57;-3.7;-10.7;17.49;1
TUKAS;1.39;0.62;0.02;35.1;52.38;0.77;1.61;13.08;29.46;23.71;17.1;28.45;31.79;1
TATGD;2.44;1.31;0.19;26.09;45.95;0.74;1.56;15.15;29.21;13.82;20.44;28.08;16.28;1
DARDL;1.24;0.97;0.03;25.22;41.3;1.08;9.73;-2.09;27.19;9.24;-1.95;-4.56;14.67;1
CCOLA;1.43;1.1;0.56;28.64;54.34;0.84;8.03;8.75;35.19;20.94;10.36;21.93;27.36;1
AEFES;1.01;0.77;0.42;24.98;53.75;0.58;5.84;1.58;36.02;16.41;2.72;6.78;28.44;1
TRILC;1.47;1.3;0.17;31.83;47.69;1.32;12.26;7.29;17.9;12.47;5.52;15.73;26.64;0
MEDTR;4.87;4.34;3.11;4.33;20.83;0.71;3.62;31.61;44.09;27.06;44.61;42.64;22.29;0
KERVT;1.33;0.98;0.03;28.85;66.5;1.18;5.28;-0.97;20.08;12.22;-0.82;-3.21;25.86;1
BLCYT;7.09;5.55;3.04;0.05;12.04;0.52;3.24;16.17;40.69;39.07;30.97;29.05;22.83;0
THYAO;0.73;0.69;0.4;56.26;74.37;0.36;26.32;3.04;22.74;28.67;8.43;12.62;-13.4;1
TCELL;1.73;1.71;1.09;52.03;68.08;0.57;107.44;8.24;30.63;43.67;14.41;23.21;74.24;1
TRGYO;0.48;0.2;0.09;25.31;27.07;0.09;0.36;31.57;79.24;71.72;37.67;45.57;-103.28;1
TKNSA;1;0.34;0.27;6.97;91.9;3.03;4.51;5.3;16.85;9.05;1.75;339.54;-79.29;1
TAVHL;0.92;0.88;0.36;34.61;70.66;0.13;17.23;1.11;40.49;28.59;8.57;4.01;-43.25;1
SELEC;1.43;1.14;0.17;0.85;65.64;2.31;10.68;8.13;8.28;4.42;3.52;23.26;29.69;0
PGSUS;1;0.99;0.59;69.32;87.14;0.26;90.6;-4.81;1.1;21.29;-18.5;-32.36;10.94;1
ODAS;0.86;0.63;0.13;35.84;47.4;0.28;4.36;0.75;26.45;27.96;2.69;1.74;13.71;0
NTHOL;0.86;0.83;0.65;19.23;40.08;0.08;13.06;7.19;38;33.49;89.97;13.05;-2.89;0
MAVI;1.11;0.82;0.59;34.1;70.86;1.36;3.43;11.77;51.34;22;8.67;49.31;-65.49;1
KARSN;0.9;0.75;0.15;53.59;73.41;0.64;6.2;3.06;27.74;19.25;4.78;11.48;56.16;1
INDES;1.17;1;0.36;16.22;84.28;2.38;16.78;7.32;4.32;3.26;3.08;53.59;-23.7;0
SAHOL;0.77;0.76;0.18;14.64;87.36;0.05;4.26;1.82;118.49;77.03;39.36;26.91;-11.01;1
GSDHO;3.79;3.78;1.75;18.69;29.03;0.17;55.91;19.07;94.75;84.07;10.73;27.89;17;1
GLYHO;1.06;1.02;0.5;68.45;83.59;0.19;17.5;-0.91;20.27;15.59;-4.72;-7.47;-56.1;1
DOAS;1.29;0.91;0.67;31.04;55.27;2.88;8.8;27.64;14.49;9.78;9.59;70.26;-71.01;1
DOHOL;2.62;2.27;1.64;20.89;35.77;0.92;10.14;15.72;14.7;10.34;17.05;26.5;9.36;1
BIMAS;0.88;0.46;0.19;26.77;74.32;2.62;10.46;10.89;19.02;9.19;4.16;39.68;76.27;1
ASELS;1.38;0.93;0.15;11.64;44.34;0.5;2.05;17.71;33.02;27.32;35.41;32.83;77.53;0
ALGYO;2.21;2.1;17.3;0.14;1.14;0.05;0.47;51.25;98.74;94.93;13.81;51.8;19.94;1
TTKOM;1.15;1.13;0.43;51.09;75.57;0.67;56.33;11.18;43.38;44.89;16.81;43.83;77.39;1
TKFEN;1.18;0.88;0.39;15.98;64.75;0.91;4.99;4.68;7.89;3.99;5.17;12.6;-10.66;1
SOKM;0.62;0.22;0.19;30.92;94.91;3.25;8.81;3.71;23.39;9.23;1.14;86.07;-82.55;1
SNGYO;3.25;2.12;0.95;40.52;56.76;0.25;0.8;37.36;47.79;40;150.7;26.47;75.07;0
MGROS;0.66;0.31;0.28;33.59;97.04;2.17;6.87;2.14;24.14;7.98;0.99;26.56;-54.23;1
LOGO;1.07;1.06;0.58;14.74;53.89;0.53;32.53;18.22;81.39;37.33;34.52;41.96;-27.74;1
KCHOL;0.85;0.79;0.15;28.05;88.13;0.33;7;1.84;29.26;19.07;5.55;27.63;-36.46;1
GOZDE;0.9;0.75;0.15;1.04;11.36;0.18;78.82;0.88;-2.6;39.59;17.05;96.92;3.84;1
ENKAI;2.91;2.76;2.43;1.81;25.94;0.28;7.1;5.63;26.02;26.41;20.01;7.47;16.28;1
