Model;deðiþken sayýsý;cvtest_score;trainscore;f1;precision
DT;3;0.632890071;1;0.619031739;0.690801515
;4;0.60141844;1;0.5958656;0.695296598
;5;0.658865248;1;0.660095722;0.741409886
;6;0.664849291;1;0.635558124;0.72613245
;7;0.673315603;1;0.657238039;0.720329847
;8;0.690115248;1;0.681125842;0.761043713
;9;0.711347518;1;0.700611421;0.759581707
;10;0.715514184;1;0.725802876;0.773224581
;11;0.692021277;1;0.660643614;0.748771587
;12;0.696276596;1;0.686001745;0.737810227
;13;0.719237589;1;0.692454111;0.743779987
RF;3;0.630718085;1;0.599503367;0.672981677
;4;0.70483156;1;0.651661385;0.716138917
;5;0.694237589;1;0.654839371;0.718477483
;6;0.723891844;1;0.696302683;0.737029426
;7;0.727792553;1;0.733105886;0.744439827
;8;0.77429078;1;0.760891527;0.792272904
;9;0.763608156;1;0.760335573;0.787794047
;10;0.788962766;1;0.753129982;0.788910586
;11;0.778413121;1;0.745037646;0.78912269
;12;0.759397163;1;0.724404716;0.789985787
;13;0.755319149;1;0.753543509;0.76932613
SVML;3;0.596985816;0.593667546;0.373757017;0.599444444
;4;0.601285461;0.654353562;0.428906475;0.609443015
;5;0.611968085;0.65171504;0.469781515;0.621722229
;6;0.649689716;0.662269129;0.550004552;0.645874681
;7;0.6625;0.662269129;0.591951688;0.668352645
;8;0.670700355;0.664907652;0.602857376;0.670150294
;9;0.674911348;0.667546174;0.609999164;0.675247061
;10;0.67287234;0.667546174;0.60270642;0.673278884
;11;0.672783688;0.672823219;0.597685258;0.667699194
;12;0.668572695;0.701846966;0.592978991;0.664926162
;13;0.672828014;0.701846966;0.595805346;0.66684184
SVMP;3;0.603235816;0.606860158;0.402873593;0.604583298
;4;0.643129433;0.670184697;0.566012844;0.650657855
;5;0.65376773;0.688654354;0.590907455;0.662356645
;6;0.647606383;0.707124011;0.602056043;0.666921452
;7;0.687898936;0.773087071;0.658828149;0.711515264
;8;0.683820922;0.783641161;0.654040604;0.711331431
;9;0.677260638;0.820580475;0.651088443;0.714489551
;10;0.69197695;0.817941953;0.669503313;0.723904758
;11;0.725443262;0.820580475;0.706807656;0.758010077
;12;0.73373227;0.823218997;0.71669748;0.765371889
;13;0.744547872;0.865435356;0.728962606;0.777865577
SVMRBF;3;0.603368794;0.654353562;0.471637442;0.61499934
;4;0.630762411;0.730870712;0.571514405;0.65142521
;5;0.673138298;0.786279683;0.639134509;0.696744967
;6;0.694193262;0.799472296;0.669508955;0.719098357
;7;0.711214539;0.839050132;0.691832383;0.742444932
;8;0.736480496;0.857519789;0.72217735;0.767225024
;9;0.742730496;0.875989446;0.725834191;0.773522947
;10;0.746764184;0.894459103;0.72926525;0.772431084
;11;0.767996454;0.907651715;0.753808985;0.794823421
;12;0.753102837;0.905013193;0.737655542;0.782222951
;13;0.761613475;0.918205805;0.75024337;0.805881036
SVMSig;3;0.508599291;0.509234828;0.475816843;0.58798823
;4;0.514760638;0.535620053;0.47826787;0.596001502
;5;0.521054965;0.519788918;0.482131628;0.590029718
;6;0.4875;0.477572559;0.448496578;0.559436316
;7;0.472650709;0.477572559;0.441586519;0.555649639
;8;0.474822695;0.472295515;0.433353236;0.548079697
;9;0.476994681;0.46701847;0.438544973;0.546832359
;10;0.47287234;0.472295515;0.434298383;0.544168601
;11;0.474955674;0.472295515;0.436543333;0.545454423
;12;0.47912234;0.474934037;0.441140628;0.553500332
;13;0.483244681;0.493403694;0.444724992;0.556845238
